time	V(6)	V(10)	V(11)	V(vdd)	I(Rz)	Id(M1)
6.326896323789466e-004	2.635347e+001	2.267855e+000	4.360386e-002	1.799801e+001	2.100168e-002	4.601870e-005
6.366896323788396e-004	2.635263e+001	2.477671e+000	3.652600e-002	1.799800e+001	2.100015e-002	4.489427e-005
6.406896323787326e-004	2.635178e+001	2.783430e+000	2.717575e-002	1.799800e+001	2.099891e-002	4.342356e-005
6.446896323786255e-004	2.635093e+001	3.164388e+000	1.611795e-002	1.799799e+001	2.099788e-002	4.170646e-005
6.486896323785185e-004	2.635009e+001	3.594106e+000	4.047399e-003	1.799799e+001	2.099700e-002	3.986034e-005
6.526896323784115e-004	2.634924e+001	4.043710e+000	-8.277467e-003	1.799798e+001	2.099618e-002	3.800658e-005
6.566896323783045e-004	2.634840e+001	4.484210e+000	-2.008223e-002	1.799798e+001	2.099533e-002	3.626137e-005
6.606896323781974e-004	2.634755e+001	4.888557e+000	-3.062515e-002	1.799798e+001	2.099438e-002	3.472834e-005
6.646896323780904e-004	2.634671e+001	5.233213e+000	-3.924378e-002	1.799797e+001	2.099326e-002	3.349344e-005
6.686896323779834e-004	2.634586e+001	5.505557e+000	-4.559177e-002	1.799797e+001	2.099193e-002	3.259452e-005
6.716361861636155e-004	2.634524e+001	5.654106e+000	-4.865509e-002	1.799796e+001	2.099081e-002	3.216429e-005
6.732832276368228e-004	2.634489e+001	5.711626e+000	-4.958763e-002	1.799796e+001	2.099010e-002	3.203406e-005
6.747918427583155e-004	2.634457e+001	5.745495e+000	-4.987442e-002	1.799796e+001	2.098941e-002	3.199432e-005
6.764226280817631e-004	2.634423e+001	5.762767e+000	-4.960916e-002	1.799796e+001	2.098860e-002	3.203185e-005
6.788153018266740e-004	2.634372e+001	5.750772e+000	-4.813085e-002	1.799795e+001	2.098730e-002	3.223994e-005
6.826896323790521e-004	2.634290e+001	5.655984e+000	-4.360386e-002	1.799794e+001	2.098499e-002	3.287993e-005
6.866896323789451e-004	2.634206e+001	5.468912e+000	-3.652600e-002	1.799793e+001	2.098235e-002	3.388948e-005
6.906896323788381e-004	2.634121e+001	5.191219e+000	-2.717575e-002	1.799792e+001	2.097944e-002	3.523991e-005
6.946896323787311e-004	2.634037e+001	4.836760e+000	-1.611795e-002	1.799791e+001	2.097631e-002	3.686113e-005
6.986896323786240e-004	2.633952e+001	4.425380e+000	-4.047399e-003	1.799789e+001	2.097301e-002	3.865969e-005
7.026896323785170e-004	2.633868e+001	3.981413e+000	8.277467e-003	1.799788e+001	2.096962e-002	4.052592e-005
7.066896323784100e-004	2.633784e+001	3.532492e+000	2.008223e-002	1.799787e+001	2.096620e-002	4.234026e-005
7.106896323783030e-004	2.633699e+001	3.107814e+000	3.062515e-002	1.799785e+001	2.096286e-002	4.398173e-005
7.146896323781959e-004	2.633615e+001	2.735981e+000	3.924378e-002	1.799784e+001	2.095966e-002	4.533750e-005
7.186896323780889e-004	2.633530e+001	2.435693e+000	4.559177e-002	1.799783e+001	2.095666e-002	4.634342e-005
7.216361861637211e-004	2.633468e+001	2.269297e+000	4.865509e-002	1.799782e+001	2.095462e-002	4.683082e-005
7.232832276369283e-004	2.633433e+001	2.204213e+000	4.958763e-002	1.799781e+001	2.095355e-002	4.697922e-005
7.247918427581990e-004	2.633401e+001	2.165731e+000	4.987442e-002	1.799781e+001	2.095264e-002	4.702435e-005
7.264226280818686e-004	2.633367e+001	2.146154e+000	4.960916e-002	1.799781e+001	2.095171e-002	4.698093e-005
7.288153018267796e-004	2.633316e+001	2.160014e+000	4.813085e-002	1.799780e+001	2.095048e-002	4.674298e-005
7.326896323793797e-004	2.633235e+001	2.267716e+000	4.360386e-002	1.799780e+001	2.094873e-002	4.601861e-005
7.366896323792727e-004	2.633150e+001	2.477531e+000	3.652600e-002	1.799779e+001	2.094721e-002	4.489419e-005
7.406896323791656e-004	2.633066e+001	2.783290e+000	2.717575e-002	1.799778e+001	2.094597e-002	4.342348e-005
7.446896323790586e-004	2.632981e+001	3.164248e+000	1.611795e-002	1.799778e+001	2.094495e-002	4.170638e-005
7.486896323789516e-004	2.632897e+001	3.593965e+000	4.047399e-003	1.799778e+001	2.094407e-002	3.986026e-005
7.526896323788446e-004	2.632813e+001	4.043568e+000	-8.277467e-003	1.799777e+001	2.094325e-002	3.800650e-005
7.566896323787375e-004	2.632728e+001	4.484068e+000	-2.008223e-002	1.799777e+001	2.094241e-002	3.626130e-005
7.606896323786305e-004	2.632644e+001	4.888414e+000	-3.062515e-002	1.799777e+001	2.094147e-002	3.472827e-005
7.646896323785235e-004	2.632560e+001	5.233069e+000	-3.924378e-002	1.799776e+001	2.094035e-002	3.349337e-005
7.686896323784165e-004	2.632475e+001	5.505413e+000	-4.559177e-002	1.799776e+001	2.093903e-002	3.259446e-005
